"strain","country","state","date","latitude","longitude","region","num_date"
"East_Timor|NA|KY275225|D2/Timor/558/2010|Dengue_2|E|External|2010-06-15|2010.45205479452","East_Timor","NA","2010-06-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|KY275234|D2/Timor/209/2010|Dengue_2|E|External|2010-06-15|2010.45205479452","East_Timor","NA","2010-06-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|KY275217|D2/Timor/193/2010|Dengue_2|E|External|2010-10-15|2010.78630136986","East_Timor","NA","2010-10-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|KY275228|D2/Timor/861/2010|Dengue_2|E|External|2010-11-15|2010.87123287671","East_Timor","NA","2010-11-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|KY275229|D2/Timor/876/2010|Dengue_2|E|External|2010-11-15|2010.87123287671","East_Timor","NA","2010-11-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|KY275233|D2/Timor/133/2010|Dengue_2|E|External|2010-12-15|2010.95342465753","East_Timor","NA","2010-12-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|KY275201|D2/Timor/032/2011|Dengue_2|E|External|2011-02-15|2011.12328767123","East_Timor","NA","2011-02-15",-8.7443169,126.063482,"SEA",2011
"Taiwan|NA|KT175113||Dengue_2|E|External|2013-06-15|2013.45205479452","Taiwan","NA","2013-06-15",23.9739374,120.9820179,"SEA",2013
"Indonesia|Semarang|KC589011|SMG-SE001|Dengue_2|E|External|2012-02-09|2012.10684931507","Indonesia","Semarang","2012-02-09",-2.4833826,117.8902853,"SEA",2012
"Singapore|NA|MW510259|SG(EHI)D2/31560Y12|Dengue_2|E|External|2012-06-15|2012.45205479452","Singapore","NA","2012-06-15",1.357107,103.8194992,"SEA",2012
"Singapore|NA|MW510260|SG(EHI)D2/33454Y12|Dengue_2|E|External|2012-06-15|2012.45205479452","Singapore","NA","2012-06-15",1.357107,103.8194992,"SEA",2012
"Singapore|NA|MW510261|SG(EHI)D2/34469Y12|Dengue_2|E|External|2012-06-15|2012.45205479452","Singapore","NA","2012-06-15",1.357107,103.8194992,"SEA",2012
"Taiwan|NA|MG895005||Dengue_2|E|External|2012-05-13|2012.36164383562","Taiwan","NA","2012-05-13",23.9739374,120.9820179,"SEA",2012
"Taiwan|NA|MG895025||Dengue_2|E|External|2013-04-02|2013.24931506849","Taiwan","NA","2013-04-02",23.9739374,120.9820179,"SEA",2013
"Singapore|NA|MW512376|SG(EHI)D2/28912Y12|Dengue_2|WG|External|2012-06-15|2012.45205479452","Singapore","NA","2012-06-15",1.357107,103.8194992,"SEA",2012
"Singapore|NA|KX380807|D2/SG/CT2/2012|Dengue_2|WG|External|2012-06-15|2012.45205479452","Singapore","NA","2012-06-15",1.357107,103.8194992,"SEA",2012
"Singapore|NA|MW512480|SG(EHI)D2/27574Y18|Dengue_2|WG|External|2018-06-15|2018.45205479452","Singapore","NA","2018-06-15",1.357107,103.8194992,"SEA",2018
"China|NA|MN923111|19XN21330|Dengue_2|WG|External|2019-08-24|2019.64383561644","China","NA","2019-08-24",35.000074,104.999927,"SEA",2019
"Indonesia|Kupang|MT122193|KPG-204|Dengue_2|E|External|2017-09-15|2017.70410958904","Indonesia","Kupang","2017-09-15",-2.4833826,117.8902853,"SEA",2017
